Código Localidad;Barrio;Corregimiento;Municipio;Departamento;País
11910;PUERTO COLOMBIA RURAL;PUERTO COLOMBIA;PUERTO COLOMBIA;ATLANTICO;COLOMBIA
11920;LA PLAYA RURAL;EDUARDO SANTOS (LA PLAYA);BARRANQUILLA;ATLANTICO;COLOMBIA
11930;URB. LA PLAYA;EDUARDO SANTOS (LA PLAYA);BARRANQUILLA;ATLANTICO;COLOMBIA
9860;ME QUEJO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
9870;LAS COLINAS;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
9880;LA FLORIDA;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
9890;LAS TERRAZAS;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
9910;POR FIN;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
9920;NUEVA COLOMBIA;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
9930;CARLOS MEISEL;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
9950;LOS OLIVOS I;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
9960;LA PAZ;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
9970;LAS ESTRELLAS;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
9980;RECREO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
9990;BOSTON;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10000;LUCERO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10010;LOS PINOS;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10020;SANTO DOMINGO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10030;EL ROSARIO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10050;BARLOVENTO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10070;MONTECRISTO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10080;EL PRADO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10100;LAS DELICIAS;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10110;BETANIA;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10130;LAS MERCEDES;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10140;CIUDAD JARDIN;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10150;CAMPO ALEGRE;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10160;EL PORVENIR;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10180;VILLA COUNTRY;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10190;BELLAVISTA;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10200;ALTOS DE RIOMAR;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10210;SANTA ANA;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10220;SAN FRANCISCO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10230;LA CONCEPCION;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10240;PARAISO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10250;EL CASTILLO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10270;MODELO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10290;SAN SALVADOR;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10320;RIOMAR;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10340;LAS TRES AVE MARIAS;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10350;LIMONCITO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10360;ANDALUCIA;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10370;SANTA MONICA;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10380;ALTOS DEL LIMON;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10390;VILLA SANTOS;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10400;ALTAMIRA;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10420;ALTOS DEL PRADO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10450;VILLA CAMPESTRE;VILLA CAMPESTRE;PUERTO COLOMBIA;ATLANTICO;COLOMBIA
10470;LA CAMPI¥A;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10480;GRANADILLO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10500;LOS NOGALES;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10510;LOS ALPES;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10520;LA CUMBRE;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
